Date,NO2,SO2,RSPM/PM10
2011-01-09,45,4,80.0
2011-01-24,48,4,425.0
2011-01-28,55,4,331.0
2011-02-05,60,4,314.0
2011-02-06,59,4,267.0
2011-02-08,44,4,125.0
2011-02-12,41,4,254.0
2011-02-17,61,4,116.0
2011-02-22,59,4,169.0
2011-02-25,52,4,132.0
2011-03-01,56,4,312.0
2011-03-02,53,4,360.0
2011-03-10,47,4,154.0
2011-03-11,44,4,284.0
2011-03-14,59,4,66.0
2011-03-17,60,4,165.0
2011-03-22,55,4,169.0
2011-03-25,55,4,
2011-03-30,58,4,290.0
2011-04-03,60,4,72.0
2011-04-07,47,4,272.0
2011-04-15,60,4,
2011-04-20,56,4,316.0
2011-04-26,54,4,411.0
2011-05-04,67,4,200.0
2011-05-05,59,4,280.0
2011-05-08,45,4,126.0
2011-05-13,60,4,104.0
2011-05-19,58,4,134.0
2011-05-24,54,4,274.0
2011-05-27,60,4,183.0
2011-06-01,52,4,340.0
2011-06-09,34,4,94.0
2011-06-15,52,4,297.0
2011-06-20,58,4,308.0
2011-06-23,54,4,231.0
2011-06-28,42,4,320.0
2011-07-06,52,4,171.0
2011-07-07,44,4,186.0
2011-07-10,47,4,127.0
2011-07-15,39,4,119.0
2011-07-20,44,4,158.0
2011-07-25,36,4,116.0
2011-07-28,32,4,239.0
2011-08-02,54,4,230.0
2011-08-04,63,4,486.0
2011-08-12,49,4,188.0
2011-08-19,26,4,136.0
2011-08-25,39,4,147.0
2011-09-03,57,4,92.0
2011-09-09,32,4,87.0
2011-09-11,49,5,338.0
2011-09-14,46,4,79.0
2011-09-19,41,4,73.0
2011-09-22,41,4,105.0
2011-09-27,41,4,119.0
2011-10-05,57,4,325.0
2011-10-06,49,4,252.0
2011-10-08,43,4,88.0
2011-10-17,38,4,109.0
2011-10-20,52,4,323.0
2011-11-01,55,4,405.0
2011-11-02,61,4,144.0
2011-11-15,49,4,262.0
2011-11-18,27,4,93.0
2011-11-23,38,4,185.0
2011-11-28,44,4,314.0
2011-12-07,42,4,171.0
2011-12-10,43,4,125.0
2011-12-13,44,4,269.0
2011-12-16,45,4,405.0
2011-12-21,51,4,211.0
2011-12-26,45,4,496.0
2011-12-29,43,4,218.0
2014-01-04,53,4,115.0
2014-01-07,50,4,239.0
2014-01-08,44,4,139.0
2014-01-09,30,4,160.0
2014-01-10,43,4,120.0
2014-01-13,46,4,218.0
2014-01-17,27,4,131.0
2014-01-22,27,4,119.0
2014-01-27,32,4,181.0
2014-01-30,35,4,387.0
2014-02-05,42,4,296.0
2014-02-12,46,4,263.0
2014-02-13,44,4,270.0
2014-02-18,49,4,327.0
2014-02-21,51,4,119.0
2014-02-26,38,4,273.0
2014-03-01,54,4,301.0
2014-03-11,45,4,308.0
2014-03-18,52,4,108.0
2014-03-21,56,4,152.0
2014-03-26,50,4,104.0
2014-04-03,51,4,146.0
2014-04-04,40,4,124.0
2014-04-06,31,4,
2014-04-07,34,4,158.0
2014-04-17,42,4,190.0
2014-04-23,59,5,434.0
2014-04-28,37,4,165.0
