Date,NO2,SO2,RSPM/PM10
2011-01-04,47.0,4.0,nan
2011-01-07,46.0,4.0,556.0
2011-01-12,52.0,4.0,357.0
2011-01-17,63.0,4.0,293.0
2011-01-20,55.0,4.0,284.0
2011-01-25,56.0,4.0,252.0
2011-02-01,52.0,4.0,227.0
2011-02-04,50.0,4.0,336.0
2011-02-09,57.0,4.0,280.0
2011-02-14,58.0,4.0,158.0
2011-02-18,67.0,5.0,309.0
2011-02-23,54.0,4.0,179.0
2011-03-01,53.0,4.0,198.0
2011-03-07,49.0,4.0,167.0
2011-03-10,50.0,4.0,102.0
2011-03-15,52.0,4.0,113.0
2011-03-18,55.0,4.0,146.0
2011-03-23,49.0,4.0,152.0
2011-03-28,53.0,4.0,117.0
2011-04-01,47.0,4.0,129.0
2011-04-06,58.0,4.0,134.0
2011-04-11,59.0,4.0,160.0
2011-04-18,58.0,4.0,236.0
2011-04-21,60.0,5.0,218.0
2011-04-27,38.0,4.0,190.0
2011-05-03,54.0,4.0,244.0
2011-05-06,48.0,4.0,204.0
2011-05-11,50.0,4.0,198.0
2011-05-16,50.0,5.0,206.0
2011-05-20,50.0,4.0,206.0
2011-05-25,51.0,4.0,308.0
2011-05-30,56.0,4.0,202.0
2011-06-03,58.0,4.0,203.0
2011-06-08,55.0,4.0,157.0
2011-06-13,50.0,4.0,166.0
2011-06-16,54.0,4.0,153.0
2011-06-21,50.0,4.0,237.0
2011-06-24,46.0,4.0,133.0
2011-06-29,41.0,4.0,130.0
2011-07-05,44.0,4.0,129.0
2011-07-08,35.0,4.0,97.0
2011-07-13,35.0,4.0,79.0
2011-07-18,42.0,4.0,81.0
2011-07-21,47.0,4.0,106.0
2011-08-03,36.0,4.0,93.0
2011-08-08,34.0,4.0,73.0
2011-08-11,25.0,4.0,75.0
2011-08-17,22.0,4.0,58.0
2011-08-26,35.0,4.0,135.0
2011-09-02,31.0,4.0,54.0
2011-09-07,35.0,4.0,108.0
2011-09-12,34.0,4.0,70.0
2011-09-20,34.0,4.0,75.0
2011-09-23,36.0,4.0,80.0
2011-09-28,37.0,4.0,80.0
2011-10-04,45.0,4.0,110.0
2011-10-10,47.0,4.0,162.0
2011-10-13,44.0,5.0,164.0
2011-10-18,46.0,4.0,220.0
2011-10-21,45.0,4.0,300.0
2011-10-27,46.0,4.0,151.0
2011-11-01,50.0,5.0,210.0
2011-11-04,65.0,5.0,365.0
2011-11-11,43.0,4.0,196.0
2011-11-16,51.0,5.0,244.0
2011-11-21,41.0,4.0,250.0
2011-11-24,46.0,5.0,255.0
2011-11-29,43.0,4.0,249.0
2011-12-05,38.0,4.0,170.0
2011-12-09,41.0,4.0,266.0
2011-12-14,32.0,4.0,184.0
2011-12-19,42.0,4.0,474.0
2011-12-27,55.0,5.0,451.0
2014-01-01,40.0,4.0,212.0
2014-01-06,40.0,4.0,190.0
2014-01-09,67.0,4.0,379.0
2014-01-15,60.0,5.0,380.0
2014-01-20,44.0,4.0,222.0
2014-01-23,40.0,4.0,106.0
2014-01-28,35.0,4.0,219.0
2014-02-03,54.0,4.0,279.0
2014-02-06,50.0,5.0,192.0
2014-02-11,50.0,4.0,312.0
2014-02-14,27.0,4.0,194.0
2014-02-19,49.0,4.0,225.0
2014-02-24,39.0,4.0,236.0
2014-02-27,37.0,4.0,194.0
2014-03-05,28.0,4.0,171.0
2014-03-10,29.0,4.0,52.0
2014-03-13,34.0,4.0,147.0
2014-03-19,36.0,4.0,133.0
2014-03-24,33.0,4.0,106.0
2014-03-27,32.0,4.0,125.0
2014-04-02,54.0,4.0,113.0
2014-04-07,37.0,4.0,135.0
2014-04-15,48.0,4.0,151.0
2014-04-21,41.0,4.0,152.0
2014-04-24,59.0,4.0,194.0
2014-04-29,44.0,4.0,106.0
2014-05-05,37.0,4.0,156.0
2014-05-08,48.0,4.0,339.0
2014-05-13,26.0,4.0,138.0
2014-05-19,30.0,4.0,175.0
2014-05-22,30.0,4.0,138.0
2014-05-27,29.0,4.0,175.0
2014-06-02,27.0,4.0,137.0
2014-06-05,27.0,4.0,132.0
2014-06-10,40.0,4.0,213.0
2014-06-13,35.0,4.0,145.0
2014-06-18,35.0,4.0,176.0
2014-06-23,35.0,4.0,165.0
2014-06-26,43.0,4.0,157.0
2014-07-02,41.0,4.0,181.0
2014-07-07,41.0,4.0,129.0
2014-07-10,39.0,4.0,234.0
2014-07-15,36.0,4.0,162.0
2014-07-23,30.0,4.0,85.0
2014-07-28,30.0,4.0,153.0
2014-08-04,47.0,4.0,96.0
2014-08-07,39.0,4.0,134.0
2014-08-12,41.0,4.0,143.0
2014-08-19,46.0,4.0,217.0
2014-08-22,36.0,4.0,241.0
2014-08-27,43.0,4.0,165.0
2014-09-02,32.0,4.0,71.0
2014-09-05,26.0,4.0,57.0
2014-09-10,33.0,4.0,87.0
2014-09-15,34.0,4.0,77.0
2014-09-18,29.0,4.0,90.0
2014-09-23,37.0,4.0,143.0
2014-09-26,40.0,4.0,121.0
2014-10-07,44.0,4.0,141.0
2014-10-10,49.0,4.0,157.0
2014-10-14,38.0,4.0,83.0
2014-10-20,56.0,4.0,225.0
2014-10-24,34.0,4.0,231.0
2014-10-29,47.0,4.0,175.0
2014-11-05,48.0,4.0,205.0
2014-11-11,54.0,4.0,363.0
2014-11-14,53.0,4.0,330.0
2014-11-19,56.0,4.0,481.0
2014-11-24,45.0,4.0,316.0
2014-11-27,45.0,4.0,303.0
2014-12-03,39.0,4.0,263.0
2014-12-08,45.0,4.0,343.0
2014-12-11,49.0,4.0,237.0
2014-12-16,41.0,4.0,158.0
2014-12-19,42.0,4.0,251.0
2014-12-24,40.0,4.0,257.0
2014-12-30,44.0,4.0,214.0
2015-01-04,50.0,4.0,206.0
2015-01-05,39.0,4.0,209.0
2015-01-10,37.0,4.0,241.0
2015-01-13,47.0,4.0,182.0
2015-01-16,43.0,4.0,204.0
2015-01-21,39.0,4.0,192.0
2015-01-27,46.0,4.0,159.0
2015-02-02,41.0,4.0,267.0
2015-02-13,45.0,4.0,280.0
2015-02-18,42.0,4.0,268.0
2015-02-23,40.0,4.0,210.0
2015-02-26,39.0,4.0,210.0
2015-03-06,46.0,4.0,264.0
2015-03-07,43.0,4.0,150.0
2015-03-09,44.0,4.0,283.0
2015-03-12,44.0,4.0,343.0
2015-03-13,50.0,4.0,187.0
2015-03-18,47.0,4.0,219.0
2015-03-23,47.0,4.0,178.0
2015-03-26,52.0,4.0,174.0
2015-04-03,39.0,4.0,199.0
2015-04-08,37.0,4.0,164.0
2015-04-11,46.0,4.0,275.0
2015-04-17,43.0,4.0,228.0
2015-04-22,45.0,4.0,229.0
2015-04-27,38.0,4.0,219.0
2015-05-01,44.0,4.0,203.0
2015-05-02,50.0,4.0,235.0
2015-05-15,46.0,4.0,132.0
2015-05-20,47.0,4.0,123.0
2015-05-25,47.0,4.0,302.0
2015-05-28,44.0,4.0,329.0
2015-06-16,43.0,4.0,150.0
2015-06-19,47.0,4.0,185.0
2015-06-24,40.0,4.0,155.0
2015-06-29,43.0,4.0,183.0
2015-07-05,46.0,4.0,121.0
2015-07-08,43.0,4.0,256.0
2015-07-10,45.0,4.0,229.0
2015-07-13,45.0,4.0,134.0
2015-07-16,40.0,4.0,155.0
2015-07-21,45.0,4.0,148.0
2015-07-24,44.0,4.0,176.0
2015-07-29,42.0,4.0,261.0
2015-08-01,45.0,4.0,214.0
2015-08-06,46.0,4.0,173.0
2015-08-07,47.0,4.0,276.0
2015-08-09,44.0,4.0,236.0
2015-08-12,39.0,4.0,359.0
2015-08-17,45.0,4.0,151.0
2015-08-20,46.0,4.0,198.0
2015-08-25,41.0,4.0,253.0
2015-08-28,39.0,4.0,197.0
2015-09-04,44.0,4.0,243.0
2015-09-16,41.0,4.0,232.0
2015-09-21,40.0,4.0,214.0
2015-09-24,40.0,4.0,241.0
2015-10-02,48.0,4.0,241.0
2015-10-03,38.0,4.0,199.0
2015-10-11,44.0,4.0,343.0
2015-10-15,39.0,4.0,266.0
2015-10-20,42.0,4.0,248.0
2015-10-26,45.0,4.0,276.0
2015-10-29,45.0,4.0,235.0
2015-11-06,46.0,4.0,149.0
2015-11-09,41.0,4.0,224.0
2015-11-12,38.0,4.0,428.0
2015-11-13,51.0,4.0,256.0
2015-11-18,43.0,4.0,202.0
2015-11-23,46.0,4.0,284.0
2015-11-27,44.0,4.0,302.0
2015-12-05,44.0,4.0,156.0
2015-12-08,44.0,4.0,200.0
2015-12-10,43.0,4.0,395.0
2015-12-16,42.0,4.0,149.0
2015-12-21,43.0,4.0,296.0
2015-12-29,51.0,13.0,253.0
2015-12-31,71.0,nan,270.0
