Date,NO2,SO2,RSPM/PM10
2011-01-04,38.0,4.0,109.0
2011-01-07,44.0,4.0,331.0
2011-01-12,52.0,5.0,193.0
2011-01-17,43.0,5.0,264.0
2011-01-20,41.0,5.0,225.0
2011-01-25,46.0,4.0,195.0
2011-02-01,44.0,4.0,196.0
2011-02-04,36.0,4.0,292.0
2011-02-09,36.0,4.0,166.0
2011-02-14,33.0,4.0,150.0
2011-02-18,34.0,4.0,251.0
2011-02-23,41.0,4.0,291.0
2011-03-01,33.0,4.0,156.0
2011-03-07,48.0,4.0,114.0
2011-03-10,35.0,4.0,147.0
2011-03-15,41.0,4.0,127.0
2011-03-18,51.0,4.0,254.0
2011-03-23,54.0,4.0,314.0
2011-03-28,52.0,4.0,206.0
2011-04-01,39.0,4.0,215.0
2011-04-06,48.0,4.0,251.0
2011-04-11,48.0,4.0,343.0
2011-04-18,36.0,4.0,164.0
2011-04-21,44.0,4.0,208.0
2011-04-27,38.0,4.0,276.0
2011-05-03,38.0,4.0,296.0
2011-05-06,36.0,4.0,209.0
2011-05-11,35.0,4.0,220.0
2011-05-16,39.0,4.0,nan
2011-05-20,40.0,4.0,257.0
2011-05-25,38.0,4.0,265.0
2011-05-30,38.0,4.0,160.0
2011-06-03,35.0,4.0,167.0
2011-06-08,37.0,4.0,156.0
2011-06-13,34.0,4.0,182.0
2011-06-16,36.0,4.0,416.0
2011-06-21,36.0,4.0,128.0
2011-06-24,32.0,4.0,121.0
2011-06-29,35.0,4.0,146.0
2011-07-05,31.0,4.0,203.0
2011-07-08,42.0,4.0,122.0
2011-07-13,37.0,4.0,135.0
2011-07-18,38.0,4.0,252.0
2011-07-21,32.0,4.0,167.0
2011-07-26,33.0,4.0,180.0
2011-08-03,35.0,4.0,93.0
2011-08-08,35.0,4.0,110.0
2011-08-11,45.0,4.0,98.0
2011-08-17,35.0,4.0,75.0
2011-08-23,35.0,4.0,140.0
2011-08-26,37.0,4.0,185.0
2011-09-02,36.0,4.0,140.0
2011-09-07,33.0,4.0,177.0
2011-09-12,35.0,4.0,122.0
2011-09-20,35.0,4.0,107.0
2011-09-23,41.0,4.0,55.0
2011-09-28,43.0,4.0,47.0
2011-10-04,45.0,4.0,103.0
2011-10-10,47.0,4.0,149.0
2011-10-13,42.0,4.0,181.0
2011-10-19,34.0,7.0,184.0
2011-10-21,48.0,4.0,444.0
2011-10-25,42.0,6.0,502.0
2011-11-01,58.0,5.0,417.0
2011-11-04,55.0,5.0,459.0
2011-11-11,40.0,5.0,271.0
2011-11-16,47.0,4.0,281.0
2011-11-21,52.0,4.0,457.0
2011-11-24,47.0,4.0,185.0
2011-11-29,39.0,5.0,232.0
2011-12-05,52.0,5.0,248.0
2011-12-09,45.0,4.0,296.0
2011-12-14,48.0,5.0,281.0
2011-12-19,42.0,4.0,463.0
2011-12-22,56.0,5.0,245.0
2011-12-27,51.0,5.0,277.0
2014-01-01,40.0,4.0,154.0
2014-01-06,41.0,4.0,232.0
2014-01-09,44.0,4.0,402.0
2014-01-15,46.0,4.0,291.0
2014-01-20,41.0,4.0,289.0
2014-01-23,41.0,4.0,192.0
2014-01-28,37.0,4.0,280.0
2014-02-03,37.0,4.0,326.0
2014-02-06,49.0,4.0,297.0
2014-02-11,38.0,4.0,246.0
2014-02-14,50.0,4.0,115.0
2014-02-19,49.0,4.0,263.0
2014-02-24,49.0,4.0,197.0
2014-02-27,51.0,4.0,254.0
2014-03-05,44.0,4.0,135.0
2014-03-10,41.0,4.0,129.0
2014-03-13,45.0,4.0,167.0
2014-03-24,48.0,4.0,220.0
2014-03-27,40.0,4.0,234.0
2014-04-02,44.0,4.0,219.0
2014-04-07,42.0,4.0,130.0
2014-04-15,42.0,4.0,334.0
2014-04-21,41.0,4.0,130.0
2014-04-24,50.0,4.0,163.0
2014-04-29,44.0,4.0,137.0
2014-05-05,45.0,4.0,257.0
2014-05-08,39.0,4.0,210.0
2014-05-13,33.0,4.0,146.0
2014-05-19,36.0,4.0,146.0
2014-05-22,43.0,4.0,109.0
2014-05-27,36.0,4.0,206.0
2014-06-02,47.0,4.0,198.0
2014-06-05,41.0,4.0,215.0
2014-06-10,32.0,4.0,221.0
2014-06-13,34.0,4.0,138.0
2014-06-18,39.0,4.0,203.0
2014-06-23,35.0,4.0,168.0
2014-06-26,37.0,4.0,132.0
2014-07-02,33.0,4.0,224.0
2014-07-07,35.0,4.0,272.0
2014-07-10,37.0,4.0,104.0
2014-07-15,37.0,4.0,124.0
2014-07-23,36.0,4.0,68.0
2014-07-28,38.0,4.0,129.0
2014-08-04,42.0,4.0,111.0
2014-08-07,38.0,4.0,154.0
2014-08-12,35.0,4.0,126.0
2014-08-19,34.0,4.0,146.0
2014-08-22,36.0,4.0,177.0
2014-08-27,32.0,4.0,134.0
2014-09-02,36.0,4.0,174.0
2014-09-05,39.0,4.0,62.0
2014-09-10,41.0,4.0,84.0
2014-09-15,37.0,4.0,80.0
2014-09-18,36.0,4.0,107.0
2014-09-23,38.0,4.0,92.0
2014-09-26,35.0,4.0,101.0
2014-10-07,32.0,4.0,150.0
2014-10-10,37.0,4.0,134.0
2014-10-15,45.0,4.0,115.0
2014-10-20,48.0,4.0,230.0
2014-10-22,82.0,6.0,348.0
2014-10-27,44.0,4.0,209.0
2014-10-30,41.0,4.0,206.0
2014-11-05,38.0,4.0,210.0
2014-11-11,39.0,4.0,236.0
2014-11-14,40.0,4.0,192.0
2014-11-19,36.0,4.0,247.0
2014-11-24,39.0,4.0,215.0
2014-11-27,37.0,4.0,420.0
2014-12-03,39.0,4.0,225.0
2014-12-08,40.0,4.0,189.0
2014-12-11,39.0,4.0,228.0
2014-12-16,36.0,4.0,229.0
2014-12-19,34.0,4.0,382.0
2014-12-30,31.0,4.0,309.0
2015-01-04,31.0,4.0,116.0
2015-01-05,35.0,4.0,233.0
2015-01-10,33.0,4.0,237.0
2015-01-13,34.0,4.0,242.0
2015-01-16,40.0,4.0,202.0
2015-01-21,35.0,4.0,277.0
2015-01-27,34.0,4.0,170.0
2015-02-02,35.0,4.0,393.0
2015-02-13,36.0,4.0,190.0
2015-02-18,34.0,4.0,243.0
2015-02-23,35.0,4.0,257.0
2015-03-06,35.0,4.0,258.0
2015-03-07,31.0,4.0,252.0
2015-03-09,33.0,4.0,164.0
2015-03-12,56.0,4.0,590.0
2015-03-13,35.0,4.0,225.0
2015-03-18,28.0,4.0,121.0
2015-03-23,31.0,4.0,98.0
2015-03-26,32.0,4.0,171.0
2015-04-03,33.0,4.0,227.0
2015-04-08,28.0,4.0,171.0
2015-04-17,31.0,4.0,194.0
2015-04-22,33.0,4.0,209.0
2015-04-27,37.0,4.0,205.0
2015-05-01,35.0,4.0,221.0
2015-05-02,33.0,4.0,282.0
2015-05-11,72.0,21.0,161.0
2015-05-15,34.0,4.0,225.0
2015-05-20,31.0,4.0,237.0
2015-05-25,30.0,4.0,246.0
2015-05-28,31.0,4.0,267.0
2015-06-16,34.0,4.0,228.0
