Date,NO2,SO2,RSPM/PM10
2011-01-05,48.0,4.0,260.0
2011-01-10,66.0,5.0,267.0
2011-01-13,57.0,5.0,511.0
2011-01-18,69.0,6.0,301.0
2011-01-21,43.0,4.0,306.0
2011-01-27,53.0,5.0,452.0
2011-02-02,49.0,5.0,330.0
2011-02-07,54.0,6.0,370.0
2011-02-10,60.0,4.0,344.0
2011-02-15,40.0,4.0,83.0
2011-02-24,46.0,4.0,nan
2011-03-03,42.0,4.0,nan
2011-03-08,56.0,5.0,174.0
2011-03-11,56.0,5.0,254.0
2011-03-16,65.0,5.0,233.0
2011-03-21,69.0,5.0,180.0
2011-03-24,63.0,5.0,247.0
2011-03-29,69.0,5.0,275.0
2011-04-04,72.0,6.0,339.0
2011-04-07,nan,nan,312.0
2011-04-13,60.0,5.0,331.0
2011-04-19,57.0,5.0,281.0
2011-04-25,56.0,5.0,364.0
2011-04-28,51.0,5.0,394.0
2011-05-04,48.0,4.0,279.0
2011-05-09,74.0,5.0,323.0
2011-05-12,74.0,5.0,335.0
2011-05-18,55.0,4.0,301.0
2011-05-23,76.0,6.0,228.0
2011-05-26,58.0,4.0,203.0
2011-06-01,68.0,5.0,139.0
2011-06-06,65.0,6.0,280.0
2011-06-09,66.0,5.0,169.0
2011-06-14,57.0,5.0,191.0
2011-06-17,61.0,5.0,151.0
2011-06-22,70.0,4.0,153.0
2011-06-27,37.0,4.0,161.0
2011-07-01,67.0,5.0,232.0
2011-07-06,64.0,5.0,159.0
2011-07-11,43.0,5.0,162.0
2011-07-14,55.0,5.0,141.0
2011-07-19,57.0,4.0,136.0
2011-07-22,70.0,6.0,203.0
2011-07-27,63.0,6.0,134.0
2011-08-04,39.0,4.0,157.0
2011-08-09,49.0,4.0,89.0
2011-08-12,34.0,4.0,73.0
2011-08-18,53.0,5.0,98.0
2011-08-24,54.0,6.0,172.0
2011-08-29,53.0,5.0,122.0
2011-09-05,47.0,5.0,71.0
2011-09-08,49.0,4.0,88.0
2011-09-13,50.0,5.0,143.0
2011-09-21,57.0,4.0,119.0
2011-09-26,67.0,6.0,126.0
2011-09-29,56.0,5.0,148.0
2011-10-05,55.0,5.0,163.0
2011-10-14,53.0,4.0,304.0
2011-10-18,58.0,6.0,301.0
2011-10-20,60.0,6.0,355.0
2011-11-02,50.0,5.0,411.0
