Date,NO2,SO2,RSPM/PM10
2011-01-05,53.0,4.0,232.0
2011-01-10,60.0,4.0,326.0
2011-01-13,62.0,5.0,387.0
2011-01-18,52.0,4.0,259.0
2011-01-21,67.0,5.0,352.0
2011-01-27,66.0,4.0,409.0
2011-02-02,43.0,4.0,168.0
2011-02-07,55.0,4.0,257.0
2011-02-10,52.0,4.0,330.0
2011-02-15,36.0,4.0,76.0
2011-02-24,48.0,4.0,227.0
2011-03-03,29.0,4.0,91.0
2011-03-08,49.0,4.0,164.0
2011-03-11,47.0,4.0,178.0
2011-03-16,43.0,4.0,247.0
2011-03-21,46.0,4.0,180.0
2011-03-24,60.0,4.0,256.0
2011-03-29,52.0,4.0,211.0
2011-04-04,57.0,4.0,150.0
2011-04-07,57.0,4.0,122.0
2011-04-13,52.0,4.0,172.0
2011-04-19,49.0,4.0,149.0
2011-04-25,68.0,5.0,nan
2011-04-28,45.0,4.0,nan
2011-05-04,41.0,4.0,207.0
2011-05-09,40.0,4.0,nan
2011-05-12,48.0,4.0,nan
2011-05-18,52.0,5.0,181.0
2011-05-23,48.0,4.0,208.0
2011-05-26,51.0,4.0,222.0
2011-06-01,53.0,4.0,171.0
2011-06-06,49.0,4.0,226.0
2011-06-09,46.0,4.0,295.0
2011-06-14,46.0,4.0,264.0
2011-06-17,48.0,4.0,286.0
2011-06-22,56.0,4.0,371.0
2011-07-01,46.0,4.0,255.0
2011-07-06,41.0,4.0,131.0
2011-07-11,35.0,4.0,150.0
2011-07-14,37.0,4.0,99.0
2011-07-19,nan,nan,148.0
2011-07-22,46.0,4.0,164.0
2011-07-27,31.0,4.0,98.0
2011-08-01,39.0,4.0,94.0
2011-08-04,29.0,4.0,97.0
2011-08-09,29.0,4.0,60.0
2011-08-12,22.0,4.0,41.0
2011-08-18,44.0,4.0,148.0
2011-08-24,32.0,4.0,87.0
2011-08-29,37.0,4.0,86.0
2011-09-05,29.0,4.0,64.0
2011-09-08,34.0,4.0,53.0
2011-09-13,34.0,4.0,75.0
2011-09-21,40.0,4.0,99.0
2011-09-26,40.0,4.0,148.0
2011-09-29,42.0,4.0,120.0
2011-10-05,43.0,4.0,167.0
2011-10-11,42.0,4.0,155.0
2011-10-14,45.0,4.0,134.0
2011-10-19,75.0,10.0,292.0
2011-10-25,78.0,10.0,435.0
2011-10-28,42.0,5.0,169.0
2011-11-02,51.0,4.0,298.0
2011-11-08,55.0,5.0,472.0
2011-11-14,51.0,5.0,341.0
2011-11-17,47.0,5.0,344.0
2011-11-22,68.0,5.0,369.0
2011-11-25,48.0,4.0,330.0
2011-12-01,49.0,4.0,315.0
2011-12-07,52.0,4.0,233.0
2011-12-12,54.0,5.0,281.0
2011-12-15,40.0,4.0,252.0
2011-12-20,49.0,5.0,353.0
2011-12-23,51.0,4.0,251.0
2011-12-28,57.0,5.0,405.0
2014-01-02,47.0,4.0,107.0
2014-01-07,45.0,4.0,198.0
2014-01-10,57.0,4.0,318.0
2014-01-16,50.0,4.0,458.0
2014-01-21,26.0,4.0,142.0
2014-01-24,37.0,4.0,179.0
2014-01-29,33.0,4.0,180.0
2014-02-04,46.0,4.0,157.0
2014-02-07,50.0,4.0,226.0
2014-02-12,51.0,4.0,234.0
2014-02-17,52.0,4.0,315.0
2014-02-20,52.0,4.0,328.0
2014-02-25,48.0,4.0,215.0
2014-03-03,46.0,4.0,283.0
2014-03-06,49.0,4.0,184.0
2014-03-11,36.0,4.0,145.0
2014-03-14,48.0,4.0,149.0
2014-03-20,47.0,4.0,156.0
2014-03-25,48.0,4.0,170.0
2014-03-28,56.0,4.0,163.0
2014-04-03,45.0,4.0,147.0
2014-04-09,49.0,4.0,183.0
2014-04-16,42.0,4.0,211.0
2014-04-22,48.0,4.0,241.0
2014-04-25,47.0,4.0,202.0
2014-05-01,35.0,4.0,213.0
2014-05-06,37.0,4.0,243.0
2014-05-09,43.0,4.0,229.0
2014-05-15,32.0,4.0,204.0
2014-05-20,30.0,4.0,202.0
2014-05-23,27.0,4.0,189.0
2014-05-28,31.0,4.0,nan
2014-06-03,36.0,4.0,nan
2014-06-06,34.0,4.0,nan
2014-06-11,27.0,4.0,190.0
2014-06-16,34.0,4.0,189.0
2014-06-19,35.0,4.0,175.0
2014-06-24,42.0,4.0,149.0
2014-06-27,41.0,4.0,271.0
2014-07-03,23.0,4.0,128.0
2014-07-08,28.0,4.0,183.0
2014-07-11,31.0,4.0,157.0
2014-07-16,30.0,4.0,163.0
2014-07-21,26.0,4.0,108.0
2014-07-24,20.0,4.0,105.0
2014-07-30,36.0,4.0,168.0
2014-08-05,35.0,4.0,147.0
2014-08-08,39.0,4.0,147.0
2014-08-13,46.0,4.0,141.0
2014-08-20,38.0,4.0,147.0
2014-09-03,23.0,4.0,139.0
2014-09-08,27.0,4.0,nan
2014-09-11,22.0,4.0,nan
2014-09-16,29.0,4.0,nan
2014-09-19,28.0,4.0,129.0
2014-09-24,39.0,4.0,207.0
2014-09-29,43.0,4.0,324.0
2014-10-08,35.0,4.0,266.0
2014-10-13,32.0,4.0,207.0
2014-10-16,43.0,4.0,216.0
2014-10-21,40.0,4.0,159.0
2014-10-30,42.0,4.0,161.0
2014-11-07,52.0,4.0,318.0
2014-11-12,44.0,4.0,240.0
2014-11-17,52.0,4.0,615.0
2014-11-20,42.0,4.0,348.0
2014-11-25,48.0,4.0,187.0
2014-12-01,38.0,4.0,130.0
2014-12-04,39.0,4.0,255.0
2014-12-09,36.0,4.0,218.0
2014-12-12,43.0,4.0,302.0
2014-12-17,45.0,4.0,191.0
2014-12-22,46.0,4.0,224.0
2014-12-26,46.0,4.0,229.0
2015-01-01,53.0,4.0,173.0
2015-01-06,45.0,4.0,151.0
2015-01-07,nan,nan,nan
2015-01-09,50.0,4.0,181.0
2015-01-12,55.0,4.0,243.0
2015-01-14,47.0,4.0,101.0
2015-01-19,48.0,4.0,237.0
2015-01-28,47.0,4.0,130.0
2015-02-11,53.0,4.0,190.0
