Date,NO2,SO2,RSPM/PM10
2005-01-05,39.0,8.0,93.0
2005-01-10,31.0,8.0,152.0
2005-01-13,40.0,10.0,119.0
2005-01-18,36.0,8.0,77.0
2005-01-28,50.0,8.0,128.0
2005-02-03,53.0,9.0,82.0
2005-02-08,54.0,9.0,57.0
2005-02-11,50.0,9.0,78.0
2005-02-16,53.0,11.0,112.0
2005-02-21,47.0,11.0,45.0
2005-02-24,54.0,10.0,76.0
2005-03-02,47.0,10.0,127.0
2005-03-07,46.0,10.0,188.0
2005-03-11,57.0,11.0,123.0
2005-03-16,47.0,9.0,227.0
2005-03-21,50.0,11.0,170.0
2005-03-24,58.0,11.0,83.0
2005-03-30,55.0,13.0,142.0
2005-04-05,53.0,10.0,153.0
2005-04-08,48.0,9.0,316.0
2005-04-19,49.0,12.0,197.0
2005-04-21,55.0,9.0,nan
2005-05-03,46.0,11.0,84.0
2005-05-06,54.0,10.0,163.0
2005-05-11,44.0,9.0,136.0
2005-05-16,51.0,12.0,66.0
2005-05-19,45.0,12.0,90.0
2005-05-25,46.0,8.0,79.0
2005-05-30,40.0,10.0,61.0
2005-06-03,41.0,10.0,175.0
2005-06-08,42.0,9.0,191.0
2005-06-13,36.0,11.0,140.0
2005-06-16,39.0,9.0,136.0
2005-06-21,40.0,7.0,146.0
2005-06-24,45.0,8.0,77.0
2005-06-29,39.0,8.0,117.0
2005-07-05,35.0,11.0,202.0
2005-07-08,47.0,9.0,108.0
2005-08-04,56.0,12.0,83.0
2005-08-09,46.0,9.0,112.0
2005-08-12,40.0,10.0,148.0
2005-08-18,55.0,12.0,51.0
2005-08-23,52.0,12.0,87.0
2005-08-26,52.0,11.0,163.0
2005-09-01,46.0,11.0,107.0
2005-09-06,51.0,10.0,163.0
2005-09-09,40.0,9.0,96.0
2005-09-14,44.0,11.0,86.0
2005-09-19,39.0,10.0,63.0
2005-09-22,41.0,9.0,71.0
2005-09-27,27.0,8.0,90.0
2005-10-03,55.0,12.0,116.0
2005-10-06,59.0,10.0,80.0
2005-10-13,60.0,13.0,109.0
2005-10-18,62.0,12.0,96.0
2005-10-21,54.0,11.0,92.0
2005-10-26,56.0,13.0,117.0
2006-01-02,51.2,12.4,156.0
2006-01-05,51.0,11.2,129.0
2006-01-10,38.8,10.3,236.0
2006-01-16,55.7,12.7,180.0
2006-01-19,56.7,14.8,111.0
2006-01-24,55.0,12.0,159.0
2006-01-30,49.5,12.5,203.0
2006-02-03,62.3,12.7,179.0
2006-02-08,63.7,13.3,237.0
2006-02-14,57.7,14.0,126.0
2006-02-17,60.0,14.5,nan
2006-02-22,65.7,13.0,nan
2006-02-27,57.3,13.2,nan
2006-03-03,46.5,12.0,nan
2006-03-13,43.8,12.0,nan
2006-03-17,48.3,10.8,nan
2006-03-22,47.8,11.5,nan
2006-03-27,51.8,14.0,98.0
2006-03-30,44.5,12.0,98.0
2006-04-05,51.5,13.0,118.0
2006-04-12,48.0,11.0,135.0
2006-04-18,50.3,13.8,89.0
2006-04-21,45.3,14.3,237.0
2006-04-26,45.8,12.5,173.0
2006-05-02,49.5,15.8,349.0
2006-05-05,51.8,14.3,143.0
2006-05-10,52.2,14.5,134.0
2006-05-15,48.3,14.8,118.0
2006-05-18,49.2,14.3,86.0
2006-05-23,48.3,15.5,60.0
2006-05-26,53.5,13.8,114.0
2006-06-01,54.8,10.2,210.0
2006-06-06,58.7,10.8,207.0
2006-06-09,61.3,11.7,289.0
2006-06-14,57.7,12.3,224.0
2006-06-19,57.5,11.7,139.0
2006-06-22,57.3,12.8,175.0
2006-06-27,47.2,9.2,51.0
2006-07-03,52.2,10.7,63.0
2006-07-06,49.5,10.8,106.0
2006-07-11,45.3,11.3,nan
2006-07-14,55.0,12.0,330.0
2006-07-19,55.0,11.0,111.0
2006-07-24,51.8,9.2,160.0
2006-07-27,43.3,7.8,120.0
2006-08-02,39.5,8.5,198.0
2006-08-07,43.2,8.0,183.0
2006-08-10,55.0,12.3,30.0
2006-08-17,53.7,8.7,116.0
2006-08-22,50.3,10.2,71.0
2006-08-25,54.0,6.8,36.0
2006-08-30,54.0,10.7,31.0
2006-09-02,47.8,4.2,21.0
2006-09-07,58.2,4.0,57.0
2006-09-12,35.0,4.2,66.0
2006-09-15,55.8,5.3,84.0
2006-09-20,60.0,4.5,81.0
2006-09-25,62.5,4.4,113.0
2006-09-28,35.7,4.0,84.0
2006-10-05,46.8,4.5,167.0
2006-10-10,45.7,4.2,158.0
2006-10-13,39.7,4.0,117.0
2006-10-18,58.8,4.2,181.0
2006-10-23,35.5,5.2,238.0
2006-10-27,50.3,5.0,333.0
2006-11-02,40.3,4.3,232.0
2006-11-07,32.5,4.0,226.0
2006-11-10,33.0,4.0,168.0
2006-11-15,50.7,4.5,181.0
2006-11-20,36.5,4.3,255.0
2006-11-23,38.0,4.3,224.0
2006-11-28,52.0,4.7,346.0
2006-12-04,74.5,4.0,203.0
2006-12-07,53.3,4.0,189.0
2006-12-12,58.2,4.7,142.0
2006-12-15,52.3,4.7,135.0
2006-12-20,50.5,6.5,193.0
2006-12-26,64.3,5.3,152.0
2007-01-02,60.0,6.2,181.0
2007-01-05,52.2,5.0,177.0
2007-01-10,55.2,6.8,nan
2007-01-15,59.5,4.7,nan
2007-01-18,54.7,5.0,220.0
2007-01-23,50.7,4.7,298.0
2007-01-29,38.0,4.7,156.0
2007-02-05,43.5,7.2,342.0
2007-02-08,44.5,5.2,170.0
2007-02-13,36.8,5.0,81.0
2007-02-19,31.2,4.2,153.0
2007-02-22,34.8,4.2,130.0
2007-02-27,46.0,5.0,159.0
2007-03-05,47.7,4.8,210.0
2007-03-08,56.5,4.5,104.0
2007-03-13,47.7,6.0,63.0
2007-03-16,34.7,4.0,39.0
2007-03-21,32.5,4.0,101.0
2007-03-26,32.8,4.0,86.0
2007-04-02,58.3,5.2,86.0
2007-04-05,42.8,4.0,62.0
2007-04-11,37.3,4.3,135.0
2007-04-16,39.8,4.2,173.0
2007-04-19,42.0,4.2,156.0
2007-04-24,47.3,5.5,308.0
2007-04-27,41.3,4.3,181.0
2007-05-04,40.0,4.2,169.0
2007-05-09,41.2,4.2,199.0
2007-05-14,50.0,4.2,85.0
2007-05-17,40.7,4.8,90.0
2007-05-22,44.2,4.0,122.0
2007-05-25,37.3,4.2,153.0
2007-05-30,39.0,4.0,133.0
2007-06-05,38.8,4.3,156.0
2007-06-08,36.7,4.2,157.0
2007-06-13,42.5,4.2,156.0
2007-06-18,22.5,4.0,88.0
2007-06-21,30.7,4.3,47.0
2007-06-26,39.3,4.0,46.0
2007-07-02,38.0,4.0,120.0
2007-07-05,41.5,4.2,67.0
2007-07-10,38.8,4.0,105.0
2007-07-13,18.2,4.0,37.0
2007-07-23,27.0,4.0,68.0
2007-07-26,30.5,4.0,75.0
2007-08-01,37.7,4.3,55.0
2007-08-06,38.2,4.0,71.0
2007-08-09,39.8,4.2,93.0
2007-08-14,39.0,4.0,78.0
2007-08-20,47.7,4.8,nan
2007-08-23,36.3,4.0,nan
2007-09-03,30.0,4.0,nan
2007-09-07,38.5,4.0,nan
2007-09-12,35.8,4.0,nan
2007-09-17,39.0,4.0,50.0
2007-09-20,36.5,4.2,75.0
2007-09-25,37.0,4.0,86.0
2007-10-01,37.2,4.2,121.0
2007-10-05,57.0,4.0,180.0
2007-10-10,47.3,4.0,200.0
2007-10-15,nan,nan,127.0
2007-10-18,32.7,4.0,132.0
2007-10-23,41.8,4.0,nan
2007-10-26,nan,nan,nan
2007-11-01,51.2,4.2,510.0
2007-11-06,48.3,4.0,349.0
2007-11-12,61.0,4.0,257.0
2007-11-15,65.0,4.5,406.0
2007-11-20,58.8,4.5,246.0
2007-11-23,51.0,4.3,192.0
2007-11-28,49.3,4.5,183.0
2007-12-04,49.0,4.3,167.0
2007-12-07,76.7,4.5,230.0
2007-12-12,67.8,4.5,221.0
2007-12-17,52.5,4.2,217.0
2007-12-20,53.8,4.0,397.0
2007-12-27,59.8,4.5,198.0
2008-01-02,63.8,4.3,319.0
2008-01-07,60.3,4.3,387.0
2008-01-10,64.2,4.2,260.0
2008-01-15,49.7,4.0,192.0
2008-01-18,44.3,4.0,159.0
2008-01-23,43.7,4.0,105.0
2008-01-28,42.5,4.0,117.0
2008-02-01,57.7,4.5,160.0
2008-02-06,62.5,4.8,239.0
2008-02-11,56.3,4.0,127.0
2008-02-14,62.0,4.2,214.0
2008-02-22,64.7,4.3,245.0
2008-02-27,57.7,4.2,193.0
2008-03-04,74.3,4.2,257.0
2008-03-10,54.3,4.0,185.0
2008-03-13,62.2,4.0,247.0
2008-03-18,56.7,4.0,271.0
2008-03-24,59.7,4.0,197.0
2008-03-27,43.3,4.7,290.0
2008-04-02,35.0,5.5,193.0
2008-04-07,46.7,4.0,96.0
2008-04-10,49.5,4.0,173.0
2008-04-16,50.5,4.0,154.0
2008-04-22,55.3,4.0,286.0
2008-04-25,64.2,4.3,237.0
2008-05-01,72.0,4.7,322.0
2008-05-06,67.3,4.5,382.0
2008-05-09,72.2,4.7,256.0
2008-05-14,66.5,4.5,132.0
2008-05-19,62.8,4.8,117.0
2008-05-23,62.0,4.2,115.0
2008-05-28,54.5,4.0,239.0
2008-06-03,54.0,4.2,137.0
2008-06-06,55.2,4.2,200.0
2008-06-11,48.5,4.7,133.0
2008-06-16,44.7,4.0,70.0
2008-06-19,48.3,4.0,154.0
2008-06-24,44.5,4.5,178.0
2008-06-27,57.3,4.2,193.0
2008-07-03,48.5,4.0,92.0
2008-07-08,43.0,4.0,72.0
2008-07-11,41.5,4.0,135.0
2008-07-16,41.7,4.0,78.0
2008-07-21,39.2,4.2,76.0
2008-07-24,42.8,4.2,106.0
2008-07-29,39.2,4.0,118.0
2008-08-07,55.0,5.5,143.0
2008-08-12,40.3,4.0,123.0
2008-08-18,48.7,4.0,125.0
2008-08-21,42.0,4.0,170.0
2008-08-26,47.8,4.8,142.0
2008-09-01,45.3,5.0,371.0
2008-09-04,47.8,5.2,206.0
2008-09-09,46.8,4.8,96.0
2008-09-12,51.0,6.3,74.0
2008-09-17,47.3,6.2,nan
2008-09-22,47.5,5.3,nan
2008-09-25,48.2,5.5,110.0
2008-10-01,50.5,5.0,307.0
2008-10-07,50.8,4.2,286.0
2008-10-13,51.2,5.7,444.0
2008-10-16,50.2,4.2,323.0
2008-10-21,54.0,5.0,530.0
2008-10-24,56.5,5.0,511.0
2008-10-30,54.2,5.3,256.0
2008-11-05,48.0,6.2,263.0
2008-11-10,55.3,5.0,485.0
2008-11-14,57.3,4.2,292.0
2008-11-19,62.8,4.2,316.0
2008-11-24,56.0,4.0,378.0
2008-11-27,55.0,4.2,332.0
2008-12-03,50.8,4.8,263.0
2008-12-08,51.5,4.8,201.0
2008-12-12,46.0,4.0,146.0
2008-12-17,61.5,5.2,339.0
2008-12-22,51.0,6.8,291.0
2008-12-26,53.7,7.3,290.0
2009-01-01,48.5,6.0,206.0
2009-01-06,60.5,5.8,450.0
2009-01-12,62.3,5.5,250.0
2009-01-15,51.2,6.5,174.0
2009-01-20,49.2,6.5,456.0
2009-01-23,53.2,7.3,551.0
2009-01-29,55.5,5.7,400.0
2009-02-04,52.7,5.3,164.0
2009-02-09,50.3,6.7,215.0
2009-02-12,56.8,5.2,525.0
2009-02-17,47.0,4.8,328.0
2009-02-20,56.5,6.2,478.0
2009-02-25,51.2,5.7,443.0
2009-03-03,54.5,6.8,286.0
2009-03-06,55.3,6.8,241.0
