Date,NO2,SO2,RSPM/PM10
2005-01-04,62.9,10.9,203.0
2005-01-05,64.1,25.1,381.0
2005-01-14,58.1,15.9,217.0
2005-01-15,77.8,17.5,246.0
2005-01-18,70.0,8.5,306.0
2005-01-19,68.6,17.7,285.0
2005-01-21,36.8,19.7,259.0
2005-01-22,18.6,16.1,150.0
2005-02-04,78.8,16.4,203.0
2005-02-05,62.9,16.8,175.0
2005-02-08,51.7,13.5,120.0
2005-02-09,61.6,16.1,220.0
2005-02-18,42.6,18.7,144.0
2005-02-19,26.9,10.4,98.0
2005-02-25,23.1,15.1,142.0
2005-02-26,23.3,13.1,179.0
2005-03-01,40.5,18.7,166.0
2005-03-02,28.2,13.0,120.0
2005-03-15,25.3,14.8,223.0
2005-03-16,28.6,16.7,194.0
2005-03-21,51.1,16.8,130.0
2005-03-22,64.3,15.3,139.0
2005-03-29,45.9,16.0,169.0
2005-03-30,20.0,18.3,150.0
2005-04-08,37.7,24.7,395.0
2005-04-09,42.2,20.2,338.0
2005-04-15,58.3,21.8,220.0
2005-04-16,41.5,19.0,218.0
2005-04-22,77.3,23.8,210.0
2005-04-23,37.0,18.3,194.0
2005-04-28,56.5,2.5,177.0
2005-04-29,45.2,4.3,124.0
2005-05-11,20.7,9.4,201.0
2005-05-12,38.0,14.0,215.0
2005-05-13,17.4,15.0,377.0
2005-05-14,55.8,12.0,242.0
2005-05-20,94.5,12.1,268.0
2005-05-21,57.1,13.5,339.0
2005-05-27,56.6,2.5,238.0
2005-05-28,62.6,2.4,231.0
2005-06-01,33.5,17.2,244.0
2005-06-02,36.5,15.2,331.0
2005-06-10,49.8,16.5,374.0
2005-06-11,36.8,11.8,466.0
2005-06-21,37.7,6.2,196.0
2005-06-22,23.5,4.7,169.0
2005-06-24,35.8,7.0,113.0
2005-06-25,43.0,5.3,nan
2005-07-08,40.9,10.1,164.0
2005-07-09,37.6,10.7,138.0
2005-07-15,39.0,6.2,48.0
2005-07-16,29.5,15.7,45.0
2005-07-19,26.9,7.3,156.0
2005-07-20,33.2,7.7,171.0
2005-07-26,35.5,6.1,89.0
2005-07-27,28.6,nan,62.0
2005-08-02,33.5,3.5,64.0
2005-08-03,35.3,nan,68.0
2005-08-09,25.8,5.8,93.0
2005-08-10,21.6,8.7,145.0
2005-08-22,24.1,13.3,105.0
2005-08-23,30.4,12.6,85.0
2005-08-26,19.8,5.7,88.0
2005-08-27,24.0,2.8,59.0
2005-09-06,34.1,2.6,59.0
2005-09-07,34.9,nan,51.0
2005-09-13,34.0,3.4,59.0
2005-09-14,24.1,5.7,75.0
2005-09-20,37.1,12.6,147.0
2005-09-21,21.1,5.6,87.0
2005-09-27,24.4,11.8,121.0
2005-09-28,23.9,16.0,142.0
2005-10-04,50.8,28.5,237.0
2005-10-05,49.6,19.1,248.0
2005-10-14,63.7,25.3,324.0
2005-10-15,65.5,16.6,231.0
2005-10-18,88.5,22.8,310.0
2005-10-19,72.0,14.7,214.0
2005-10-28,64.5,19.8,322.0
2005-10-29,49.0,16.5,320.0
2005-11-03,50.9,23.1,259.0
2005-11-04,57.5,21.8,335.0
2005-11-08,44.1,17.8,466.0
2005-11-09,39.5,19.5,437.0
2005-11-25,102.1,17.5,364.0
2005-11-26,97.1,20.2,312.0
2005-11-28,87.8,23.5,340.0
2005-11-29,45.6,19.2,314.0
2005-12-09,92.0,20.9,530.0
2005-12-10,80.7,23.1,425.0
2005-12-13,65.1,9.5,458.0
2005-12-14,69.6,12.7,529.0
2005-12-20,106.2,11.2,664.0
2005-12-21,110.4,17.5,602.0
2005-12-27,98.0,20.2,543.0
2005-12-28,95.5,22.0,711.0
2006-01-06,34.8,22.1,269.0
2006-01-07,43.1,19.1,301.0
