Date,NO2,SO2,RSPM/PM10
2005-01-07,69.0,nan,192.0
2005-01-08,85.3,nan,250.0
2005-01-11,78.1,nan,219.0
2005-01-12,82.7,nan,223.0
2005-01-21,79.6,7.3,221.0
2005-01-22,40.8,5.3,130.0
2005-01-28,63.6,6.6,93.0
2005-01-29,70.7,3.1,113.0
2005-02-01,76.6,2.4,138.0
2005-02-02,94.8,5.5,174.0
2005-02-11,83.8,2.4,169.0
2005-02-12,77.8,2.8,104.0
2005-02-15,77.3,nan,99.0
2005-02-16,64.2,nan,113.0
2005-02-25,84.6,nan,109.0
2005-02-26,76.2,nan,103.0
2005-03-11,53.2,nan,76.0
2005-03-12,53.3,nan,116.0
2005-03-15,22.2,3.7,138.0
2005-03-16,26.5,7.3,166.0
2005-03-21,38.2,3.4,63.0
2005-03-22,60.8,9.3,81.0
2005-03-29,32.9,12.4,101.0
2005-03-30,32.3,nan,68.0
2005-05-03,34.1,5.6,94.0
2005-05-04,32.6,5.3,68.0
2005-05-10,42.3,9.2,82.0
2005-05-17,61.5,2.6,187.0
2005-05-18,40.7,6.3,123.0
2005-05-24,81.1,6.2,130.0
2005-05-25,60.9,12.4,130.0
2005-06-11,26.6,4.9,nan
2005-07-12,50.3,nan,96.0
2005-07-13,43.9,nan,36.0
2005-07-15,24.5,2.4,33.0
2005-07-16,19.9,2.6,42.0
2005-07-22,24.9,nan,117.0
2005-07-23,25.2,6.3,74.0
2005-07-29,29.8,8.0,55.0
2005-07-30,47.2,13.5,76.0
2005-08-02,31.4,3.0,40.0
2005-08-03,28.3,2.4,53.0
2005-08-09,24.8,nan,64.0
2005-08-10,22.4,nan,77.0
2005-08-19,23.0,nan,54.0
2005-08-20,22.3,nan,32.0
2005-08-29,21.2,nan,50.0
2005-08-30,26.6,nan,55.0
2005-09-02,29.3,6.9,109.0
2005-09-03,31.2,4.8,84.0
2005-09-06,25.5,6.3,74.0
2005-09-07,23.0,nan,33.0
2005-09-13,20.6,2.5,38.0
2005-09-14,19.3,8.7,26.0
2005-09-27,31.5,4.3,63.0
2005-09-28,26.2,nan,53.0
2005-10-04,50.7,3.2,115.0
2005-10-05,50.9,2.9,115.0
2005-10-10,50.9,4.1,139.0
2005-10-11,43.0,5.4,93.0
2005-10-18,82.1,3.5,170.0
2005-10-19,60.2,3.4,140.0
2005-10-25,79.2,6.4,216.0
2005-10-26,66.3,9.0,164.0
2005-11-03,44.0,4.9,94.0
2005-11-04,61.0,4.3,170.0
2005-11-11,99.4,15.8,198.0
2005-11-12,77.3,9.4,134.0
2005-11-14,52.4,5.6,173.0
2005-11-15,58.4,7.4,131.0
2005-11-22,96.6,9.2,245.0
2005-11-23,78.7,8.0,221.0
2005-12-02,77.2,8.9,241.0
2005-12-03,74.5,11.0,192.0
2005-12-06,97.4,7.4,288.0
2005-12-07,86.7,7.4,286.0
2005-12-13,90.7,nan,210.0
2005-12-14,95.0,3.7,319.0
2005-12-20,117.2,2.6,502.0
2005-12-21,98.8,4.4,353.0
2006-01-03,47.4,nan,170.0
2006-01-04,41.4,nan,153.0
2006-01-13,86.7,10.7,304.0
2006-01-14,85.7,8.5,260.0
2006-01-17,83.9,9.8,263.0
2006-01-18,74.0,7.8,219.0
2006-01-27,66.6,6.9,285.0
2006-01-28,83.6,5.9,371.0
2006-02-01,66.4,7.6,228.0
2006-02-02,75.4,7.8,256.0
2006-02-14,82.2,8.7,246.0
2006-02-15,66.4,6.3,220.0
2006-02-21,52.3,9.9,138.0
2006-02-22,51.0,8.9,148.0
2006-02-24,61.2,12.4,176.0
2006-02-25,78.7,18.7,230.0
2006-03-01,66.2,9.1,180.0
2006-03-02,60.9,9.6,268.0
2006-03-08,34.7,9.8,129.0
2006-03-09,47.5,10.0,125.0
2006-03-17,31.3,nan,126.0
2006-03-18,38.8,7.0,166.0
2006-03-21,24.9,2.6,66.0
2006-03-22,42.0,8.4,139.0
2006-04-04,41.4,8.3,189.0
2006-04-05,51.6,9.3,246.0
2006-04-14,56.6,14.0,221.0
2006-04-15,39.3,16.1,236.0
2006-04-18,28.4,11.5,121.0
2006-04-19,35.1,9.3,139.0
2006-04-24,67.1,4.8,193.0
2006-04-25,50.0,4.0,473.0
2006-05-10,32.8,6.6,276.0
2006-05-11,33.0,9.8,194.0
2006-05-16,25.8,2.5,117.0
2006-05-17,48.9,7.8,123.0
2006-05-23,50.5,2.8,116.0
