Date,NO2,SO2,RSPM/PM10
2005-01-04,44.0,11.0,150.0
2005-01-07,36.0,7.0,104.0
2005-01-12,31.0,7.0,190.0
2005-01-17,29.0,7.0,104.0
2005-01-20,31.0,8.0,105.0
2005-01-27,31.0,6.0,104.0
2005-02-02,48.0,7.0,90.0
2005-02-07,43.0,6.0,63.0
2005-02-10,42.0,6.0,62.0
2005-02-15,51.0,7.0,66.0
2005-02-18,52.0,9.0,119.0
2005-02-23,59.0,7.0,112.0
2005-03-01,25.0,10.0,100.0
2005-03-04,36.0,8.0,126.0
2005-03-10,53.0,10.0,84.0
2005-03-15,51.0,10.0,93.0
2005-03-18,51.0,9.0,71.0
2005-03-23,34.0,9.0,78.0
2005-03-29,52.0,9.0,76.0
2005-04-04,51.0,10.0,97.0
2005-04-07,49.0,11.0,182.0
2005-04-12,45.0,9.0,146.0
2005-04-15,46.0,10.0,111.0
2005-04-26,42.0,8.0,100.0
2005-05-02,41.0,7.0,75.0
2005-05-05,31.0,8.0,65.0
2005-05-10,28.0,6.0,71.0
2005-05-13,45.0,9.0,139.0
2005-05-18,37.0,8.0,175.0
2005-05-24,26.0,9.0,108.0
2005-05-27,25.0,7.0,63.0
2005-06-02,48.0,8.0,103.0
2005-06-07,51.0,8.0,90.0
2005-06-10,44.0,9.0,53.0
2005-06-15,41.0,8.0,96.0
2005-06-20,41.0,9.0,91.0
2005-06-23,47.0,9.0,86.0
2005-06-28,39.0,8.0,53.0
2005-07-04,37.0,9.0,82.0
2005-07-07,47.0,9.0,53.0
2005-07-12,43.0,11.0,37.0
2005-07-15,38.0,9.0,50.0
2005-07-20,44.0,10.0,66.0
2005-07-25,44.0,10.0,83.0
2005-07-28,36.0,9.0,63.0
2005-08-03,54.0,10.0,60.0
2005-08-08,52.0,11.0,50.0
2005-08-11,48.0,11.0,70.0
2005-08-17,54.0,9.0,82.0
2005-08-22,58.0,11.0,73.0
2005-08-25,57.0,12.0,106.0
2005-08-30,46.0,11.0,90.0
2005-09-05,39.0,9.0,68.0
2005-09-08,37.0,9.0,52.0
2005-09-13,40.0,10.0,50.0
2005-09-21,50.0,11.0,63.0
2005-09-26,51.0,11.0,104.0
2005-09-29,48.0,9.0,85.0
2005-10-05,53.0,13.0,116.0
2005-10-10,44.0,11.0,69.0
2005-10-17,43.0,9.0,164.0
2005-10-20,49.0,13.0,138.0
2005-10-25,57.0,12.0,142.0
2005-10-28,50.0,13.0,224.0
2006-01-04,44.0,11.0,107.0
2006-01-09,53.2,13.0,176.0
2006-01-13,48.3,12.5,139.0
2006-01-18,38.3,11.4,171.0
2006-01-23,50.0,14.7,95.0
2006-01-27,57.2,13.2,179.0
2006-02-02,68.8,12.8,152.0
2006-02-07,61.7,14.7,229.0
2006-02-13,65.2,13.2,145.0
2006-02-16,60.5,14.2,126.0
2006-02-21,56.5,13.8,176.0
2006-02-24,46.2,12.4,148.0
2006-03-02,46.0,11.8,97.0
2006-03-07,45.8,12.0,151.0
2006-03-10,41.3,12.7,72.0
2006-03-16,37.0,9.8,93.0
2006-03-21,48.0,12.2,nan
2006-03-24,51.3,12.7,nan
2006-03-29,43.0,12.0,nan
2006-04-04,51.7,12.0,nan
2006-04-10,49.8,14.2,nan
2006-04-17,49.3,14.8,170.0
2006-04-20,51.2,15.8,103.0
2006-04-25,55.2,14.0,nan
2006-05-01,47.5,14.2,136.0
2006-05-04,49.7,12.7,73.0
2006-05-09,45.7,14.0,160.0
2006-05-12,50.8,16.3,151.0
2006-05-17,44.2,12.5,62.0
2006-05-22,48.7,13.8,78.0
2006-05-25,41.7,12.0,89.0
2006-05-30,43.8,11.3,77.0
2006-06-05,48.8,11.3,70.0
