Date,NO2,SO2,RSPM/PM10
2006-06-02,55.0,10.0,173.0
2006-06-07,46.0,11.8,153.0
2006-06-12,41.8,8.8,326.0
2006-06-15,37.5,9.0,188.0
2006-06-20,35.8,7.8,89.0
2006-06-23,56.8,7.0,119.0
2006-06-28,50.8,10.0,156.0
2006-07-04,43.0,23.2,149.0
2006-07-07,29.3,22.8,124.0
2006-07-17,32.7,19.5,102.0
2006-07-20,29.2,21.5,80.0
2006-07-25,34.4,19.2,94.0
2006-07-28,27.5,21.8,60.0
2006-08-03,27.7,9.8,60.0
2006-08-08,26.0,6.5,46.0
2006-08-11,30.7,13.2,80.0
2006-08-18,34.0,13.7,71.0
2006-08-23,29.2,10.6,74.0
2006-08-28,32.2,9.8,33.0
2006-09-05,30.4,26.2,83.0
2006-09-08,13.3,4.0,76.0
2006-09-13,16.7,4.3,72.0
2006-09-18,25.0,18.2,154.0
2006-09-21,34.8,9.8,87.0
2006-09-26,28.3,4.2,111.0
2006-10-03,55.2,4.0,135.0
2006-10-06,23.2,4.0,113.0
2006-10-11,20.5,4.2,125.0
2006-10-16,42.5,4.2,227.0
2006-10-20,54.3,8.0,95.0
2006-10-25,52.0,5.7,263.0
2006-10-30,42.2,4.0,315.0
2006-11-03,25.5,4.0,305.0
2006-11-08,29.7,4.3,276.0
2006-11-13,35.0,4.8,215.0
2006-11-16,49.7,7.5,108.0
2006-11-21,45.0,6.0,101.0
2006-11-24,45.3,6.8,78.0
2006-11-29,29.2,4.0,148.0
2006-12-05,32.8,4.0,173.0
2006-12-08,31.2,4.0,88.0
2006-12-13,33.0,4.3,79.0
2006-12-18,52.3,5.7,136.0
2006-12-21,51.3,5.0,228.0
2006-12-27,35.8,4.0,86.0
2007-01-03,36.7,5.0,106.0
2007-01-08,25.0,5.5,133.0
2007-01-11,26.7,4.3,105.0
2007-01-16,59.3,4.7,116.0
2007-01-19,57.7,4.0,106.0
2007-01-24,47.2,4.3,103.0
2007-02-01,28.5,4.8,104.0
2007-02-06,22.0,4.5,106.0
2007-02-09,24.8,4.0,83.0
2007-02-14,22.3,4.3,nan
2007-02-23,30.7,4.0,nan
2007-03-01,14.0,4.0,nan
2007-03-06,26.5,7.0,nan
2007-03-09,24.2,5.5,nan
2007-03-14,37.8,4.3,nan
2007-03-19,41.8,4.3,256.0
2007-03-22,31.7,4.2,188.0
2007-03-28,31.0,4.0,195.0
2007-04-03,34.5,4.0,236.0
2007-04-09,35.3,4.2,174.0
2007-04-12,38.7,4.3,280.0
2007-04-17,36.0,4.0,441.0
2007-04-20,28.0,4.8,457.0
2007-04-25,27.2,5.5,556.0
2007-05-01,39.7,4.7,456.0
2007-05-07,36.8,4.0,182.0
2007-05-10,32.5,4.3,235.0
2007-05-15,23.5,4.2,77.0
2007-05-18,20.8,4.2,164.0
2007-05-23,25.7,4.0,nan
2007-05-28,36.2,4.0,222.0
2007-06-01,36.2,4.0,185.0
2007-06-06,33.7,4.0,237.0
2007-06-11,30.5,4.3,290.0
2007-06-14,20.7,4.5,207.0
2007-06-19,20.0,4.0,215.0
2007-06-22,35.5,4.0,99.0
2007-06-27,34.8,4.3,80.0
2007-07-03,34.4,4.0,116.0
2007-07-06,39.7,4.0,52.0
2007-07-11,35.8,4.0,54.0
2007-07-16,16.0,4.0,40.0
2007-07-19,15.5,4.0,103.0
2007-07-24,18.2,4.0,50.0
2007-07-27,19.5,4.3,42.0
2007-08-02,30.4,4.0,28.0
2007-08-07,34.7,4.0,15.0
2007-08-10,35.7,4.0,19.0
2007-08-21,22.3,4.0,80.0
2007-08-24,33.0,4.0,35.0
2007-08-29,30.3,4.0,83.0
2007-09-13,29.5,4.0,60.0
2007-09-18,30.8,4.0,60.0
2007-09-21,30.5,4.0,nan
2007-09-26,28.5,4.0,18.0
2007-10-03,23.0,4.0,nan
2007-10-08,15.0,4.0,nan
2007-10-11,19.0,4.0,nan
2007-10-16,21.5,4.0,nan
2007-10-19,18.8,4.0,185.0
2007-10-24,23.8,4.0,195.0
2007-10-29,30.3,4.0,228.0
2007-11-02,31.5,4.0,nan
2007-11-13,35.0,4.0,472.0
2007-11-16,31.0,4.0,368.0
2007-11-21,40.5,4.0,209.0
2007-11-26,43.8,4.0,479.0
2007-11-29,33.5,4.0,218.0
2007-12-05,34.7,4.0,230.0
2007-12-10,34.8,4.0,363.0
2007-12-13,38.5,4.0,211.0
2007-12-18,38.2,4.0,200.0
2007-12-24,41.0,4.0,205.0
2007-12-28,37.5,4.0,199.0
2008-01-03,38.2,4.0,276.0
2008-01-08,38.8,4.0,132.0
2008-01-11,36.5,4.0,117.0
2008-01-21,35.3,4.0,118.0
2008-01-24,30.0,4.3,nan
2008-01-29,32.8,4.2,131.0
2008-02-04,30.2,4.0,131.0
2008-02-07,31.8,5.2,157.0
2008-02-12,39.2,4.7,115.0
2008-02-15,35.2,5.3,133.0
2008-02-20,31.8,4.8,128.0
2008-02-25,35.5,4.0,161.0
2008-02-28,33.3,4.7,132.0
2008-03-05,36.2,4.3,190.0
2008-03-11,25.0,4.0,126.0
2008-03-14,34.3,4.7,111.0
2008-03-19,43.3,4.0,163.0
2008-03-25,33.8,4.2,121.0
2008-03-28,32.7,4.0,119.0
2008-04-03,34.0,4.0,57.0
2008-04-08,38.7,4.0,133.0
2008-04-11,38.3,4.3,121.0
2008-04-17,33.7,5.3,149.0
2008-04-23,40.7,4.3,257.0
2008-04-28,37.7,4.0,293.0
2008-05-02,34.2,4.5,350.0
2008-05-07,35.0,5.2,251.0
2008-05-12,39.2,6.0,232.0
2008-05-15,38.8,5.5,158.0
2008-05-29,nan,nan,115.0
2008-06-04,nan,nan,119.0
2008-06-09,nan,nan,116.0
2008-06-12,32.5,6.2,92.0
2008-06-17,28.5,5.0,74.0
2008-06-20,30.2,4.0,89.0
2008-06-25,29.0,4.0,84.0
2008-07-01,30.3,4.0,73.0
2008-07-04,30.0,4.3,171.0
2008-07-09,31.7,4.2,113.0
2008-07-14,34.2,4.0,138.0
2008-07-17,31.5,4.3,90.0
2008-07-22,33.0,4.3,107.0
2008-07-25,42.2,6.3,90.0
2008-07-30,31.3,4.0,93.0
2008-08-05,25.8,4.0,91.0
2008-08-13,23.3,4.0,77.0
2008-08-19,33.0,4.0,108.0
2008-08-22,35.7,4.0,126.0
2008-08-27,30.5,4.0,84.0
2008-09-02,30.2,4.0,68.0
2008-09-05,39.0,4.0,151.0
2008-09-10,nan,nan,136.0
2008-09-15,nan,nan,122.0
2008-09-18,nan,nan,72.0
2008-09-23,nan,nan,80.0
2008-09-26,39.2,4.0,79.0
2008-10-03,38.3,4.0,187.0
2008-10-08,32.0,4.0,151.0
2008-10-14,38.8,4.0,164.0
2008-10-17,38.2,4.0,132.0
2008-10-22,32.7,4.0,149.0
2008-10-27,40.0,4.0,410.0
2008-10-29,41.2,4.3,434.0
2008-11-03,38.0,4.0,251.0
2008-11-06,37.0,4.0,191.0
2008-11-11,87.8,8.5,283.0
2008-11-17,83.5,8.5,273.0
2008-11-20,36.5,4.0,170.0
2008-11-25,48.3,4.0,192.0
2008-12-01,81.3,8.2,398.0
2008-12-04,69.7,5.3,210.0
2008-12-10,25.5,4.0,110.0
2008-12-15,40.5,4.2,165.0
2008-12-18,39.3,4.0,206.0
2008-12-23,45.5,4.2,216.0
2008-12-29,51.3,6.2,315.0
2009-01-02,56.2,4.5,315.0
2009-01-07,33.8,4.0,143.0
2009-01-13,36.0,4.5,192.0
2009-01-16,45.8,4.5,235.0
2009-01-21,40.7,4.2,141.0
2009-01-27,38.0,4.8,141.0
2009-02-02,39.3,4.3,159.0
2009-02-05,42.3,4.3,237.0
2009-02-10,34.8,4.3,260.0
2009-02-13,30.7,4.0,226.0
2009-02-18,30.2,4.0,180.0
2009-02-23,26.7,4.0,156.0
2009-02-26,26.2,4.0,160.0
2009-03-04,29.7,4.2,222.0
2009-03-09,35.0,4.5,210.0
2009-03-16,36.7,4.5,236.0
2009-03-19,42.5,4.5,213.0
2009-03-24,34.2,4.0,208.0
2009-03-27,35.0,4.2,194.0
2009-04-02,32.5,4.5,221.0
2009-04-09,29.5,4.2,181.0
2009-04-15,28.5,4.0,200.0
2009-04-20,23.7,4.0,203.0
2009-04-23,25.5,4.0,215.0
2009-04-28,28.3,4.0,220.0
2009-05-04,17.2,4.0,161.0
2009-05-12,26.8,4.0,188.0
2009-05-20,27.5,4.0,233.0
2009-05-25,24.0,4.2,142.0
2009-05-28,21.3,4.0,128.0
2009-06-03,22.8,4.0,121.0
2009-06-08,27.5,4.2,167.0
2009-06-11,28.0,4.0,146.0
2009-06-16,26.7,4.0,199.0
2009-06-19,34.3,4.3,204.0
2009-06-24,31.0,4.2,213.0
2009-06-29,26.0,4.0,155.0
2009-07-03,32.0,4.0,166.0
2009-07-08,22.0,4.0,122.0
2009-07-13,23.0,4.0,128.0
2009-07-16,28.2,4.0,131.0
2009-07-21,25.0,4.0,152.0
2009-07-24,29.5,4.0,139.0
2009-07-29,25.7,4.0,112.0
2009-08-04,24.8,4.0,171.0
2009-08-07,29.2,4.0,119.0
2009-08-12,26.7,4.0,129.0
2009-08-18,31.8,4.0,141.0
2009-08-21,24.7,4.0,111.0
2009-08-26,31.8,4.0,82.0
2009-09-02,28.7,4.2,111.0
2009-09-07,29.2,4.0,94.0
2009-09-15,33.5,4.0,168.0
2009-09-18,25.2,4.0,132.0
2009-09-24,30.2,4.0,168.0
2009-10-01,41.8,5.2,166.0
2009-10-07,39.0,4.0,157.0
2009-10-12,32.5,4.0,nan
2009-10-20,36.2,4.5,223.0
2009-10-23,35.0,4.7,165.0
2009-10-28,41.2,4.3,222.0
2009-11-04,30.8,4.0,111.0
2009-11-09,40.8,4.2,137.0
2009-11-12,36.7,4.0,313.0
2009-11-17,43.2,4.5,258.0
2009-11-20,36.8,4.2,323.0
2009-11-25,42.3,4.3,132.0
