Date,NO2,SO2,RSPM/PM10
2005-01-04,37.0,8.0,126.0
2005-01-07,40.0,8.0,154.0
2005-01-12,46.0,9.0,106.0
2005-01-17,44.0,9.0,161.0
2005-01-20,37.0,7.0,102.0
2005-01-27,33.0,6.0,110.0
2005-02-02,35.0,7.0,106.0
2005-02-07,22.0,4.0,95.0
2005-02-10,29.0,5.0,85.0
2005-02-15,25.0,5.0,71.0
2005-02-18,36.0,7.0,137.0
2005-02-23,44.0,8.0,110.0
2005-03-01,48.0,9.0,103.0
2005-03-04,47.0,9.0,107.0
2005-03-10,49.0,9.0,65.0
2005-03-18,45.0,9.0,84.0
2005-03-23,42.0,7.0,102.0
2005-03-29,39.0,7.0,138.0
2005-04-04,59.0,9.0,103.0
2005-04-07,68.0,11.0,199.0
2005-04-12,61.0,9.0,178.0
2005-04-19,48.0,8.0,77.0
2005-04-26,60.0,9.0,113.0
2005-05-02,63.0,10.0,65.0
2005-05-05,67.0,10.0,111.0
2005-05-10,67.0,10.0,105.0
2005-05-13,72.0,12.0,157.0
2005-05-18,58.0,10.0,274.0
2005-05-24,56.0,9.0,120.0
2005-05-27,53.0,9.0,121.0
2005-06-02,59.0,10.0,119.0
2005-06-07,70.0,11.0,108.0
2005-06-10,68.0,11.0,158.0
2005-06-15,65.0,11.0,80.0
2005-06-20,51.0,8.0,130.0
2005-06-23,51.0,9.0,119.0
2005-06-28,51.0,8.0,88.0
2005-07-04,44.0,8.0,93.0
2005-07-07,35.0,7.0,71.0
2005-07-12,35.0,7.0,80.0
2005-07-15,39.0,9.0,59.0
2005-07-20,37.0,8.0,114.0
2005-07-25,35.0,7.0,130.0
2005-07-28,36.0,7.0,96.0
2005-08-03,32.0,7.0,89.0
2005-08-08,33.0,6.0,69.0
2005-08-11,34.0,6.0,139.0
2005-08-17,30.0,5.0,86.0
2005-08-22,39.0,6.0,78.0
2005-08-25,42.0,7.0,87.0
2005-08-30,46.0,8.0,97.0
2005-09-05,41.0,7.0,63.0
2005-09-08,39.0,7.0,74.0
2005-09-13,27.0,5.0,41.0
2005-09-21,30.0,5.0,96.0
2005-09-29,35.0,6.0,117.0
2005-10-05,39.0,7.0,110.0
2005-10-17,46.0,8.0,90.0
2005-10-20,47.0,8.0,160.0
2005-10-25,66.0,11.0,204.0
2006-01-04,41.2,6.8,163.0
2006-01-09,56.7,8.8,228.0
2006-01-13,57.5,8.8,215.0
2006-01-18,45.5,7.2,226.0
2006-01-23,50.8,8.2,219.0
2006-01-27,47.8,7.7,211.0
2006-02-02,62.7,9.7,184.0
2006-02-07,61.0,10.0,171.0
2006-02-13,58.0,10.2,314.0
2006-02-16,45.2,8.2,189.0
2006-02-21,57.3,10.2,259.0
2006-02-24,42.5,7.5,106.0
2006-03-07,64.8,10.8,150.0
2006-03-10,44.8,6.8,150.0
2006-03-16,60.2,9.5,141.0
