Date,NO2,SO2,RSPM/PM10
2005-01-06,35.0,8.0,134.0
2005-01-11,38.0,7.0,114.0
2005-01-14,36.0,7.0,156.0
2005-01-19,28.0,6.0,104.0
2005-01-25,21.0,5.0,nan
2005-02-01,26.0,10.0,nan
2005-02-04,28.0,11.0,88.0
2005-02-09,27.0,10.0,77.0
2005-02-14,27.0,9.0,80.0
2005-02-17,36.0,13.0,124.0
2005-02-22,42.0,13.0,66.0
2005-02-25,30.0,8.0,82.0
2005-03-03,42.0,14.0,209.0
2005-03-09,24.0,7.0,49.0
2005-03-14,31.0,9.0,58.0
2005-03-17,35.0,10.0,58.0
2005-03-22,21.0,6.0,46.0
2005-03-28,35.0,9.0,136.0
2005-04-01,44.0,8.0,148.0
2005-04-06,38.0,9.0,66.0
2005-04-11,44.0,12.0,163.0
2005-04-20,32.0,9.0,121.0
2005-04-25,26.0,7.0,102.0
2005-04-28,32.0,9.0,98.0
2005-05-04,33.0,9.0,96.0
2005-05-09,32.0,9.0,57.0
2005-05-12,27.0,8.0,64.0
2005-05-17,36.0,9.0,147.0
2005-05-20,30.0,7.0,79.0
2005-05-26,43.0,7.0,106.0
2005-06-01,35.0,10.0,93.0
2005-06-06,41.0,10.0,134.0
2005-06-09,34.0,8.0,107.0
2005-06-14,31.0,9.0,179.0
2005-06-17,36.0,9.0,140.0
2005-06-22,36.0,10.0,85.0
2005-06-27,30.0,7.0,58.0
2005-07-01,31.0,7.0,77.0
2005-07-06,23.0,6.0,78.0
2005-07-11,24.0,7.0,41.0
2005-07-14,17.0,5.0,31.0
2005-07-19,33.0,9.0,50.0
2005-07-22,42.0,13.0,109.0
2005-07-27,31.0,9.0,56.0
2005-08-02,23.0,4.0,69.0
2005-08-05,26.0,6.0,41.0
2005-08-10,32.0,7.0,61.0
2005-08-16,33.0,8.0,58.0
2005-08-19,37.0,9.0,45.0
2005-08-24,39.0,9.0,108.0
2005-08-29,34.0,8.0,75.0
2005-09-02,29.0,6.0,89.0
2005-09-07,27.0,5.0,45.0
2005-09-20,27.0,7.0,56.0
2005-09-23,18.0,4.0,56.0
2005-09-28,28.0,7.0,71.0
2005-10-04,35.0,6.0,51.0
2005-10-07,25.0,6.0,79.0
2005-10-14,42.0,12.0,145.0
2005-10-24,48.0,9.0,201.0
2005-10-27,38.0,8.0,148.0
2006-01-03,30.8,6.7,116.0
2006-01-06,48.0,10.5,145.0
2006-01-12,44.5,8.5,166.0
2006-01-17,44.3,9.5,144.0
2006-01-20,51.3,7.3,113.0
2006-01-25,29.5,5.7,134.0
2006-02-01,37.5,8.2,154.0
2006-02-06,34.8,8.0,118.0
2006-02-10,48.0,10.7,161.0
2006-02-15,55.7,13.0,173.0
2006-02-20,46.8,9.7,111.0
2006-02-23,37.3,8.7,116.0
2006-03-01,36.0,8.5,220.0
2006-03-06,37.5,5.8,166.0
2006-03-09,25.2,4.5,nan
2006-03-14,16.4,4.0,nan
2006-03-20,30.8,6.2,nan
2006-03-23,30.3,4.3,nan
2006-03-28,32.3,5.5,nan
2006-04-03,32.8,4.5,nan
2006-04-07,28.7,5.0,nan
2006-04-13,38.2,7.0,101.0
2006-04-19,43.5,9.0,122.0
2006-04-24,32.3,6.2,112.0
2006-04-27,36.3,5.8,148.0
2006-05-03,32.0,7.2,94.0
2006-05-08,60.0,10.2,160.0
2006-05-11,37.8,8.5,119.0
2006-05-16,37.8,6.5,93.0
2006-05-19,29.8,6.2,115.0
2006-05-24,40.2,9.7,99.0
2006-05-29,32.5,6.3,87.0
2006-06-02,29.0,5.7,81.0
2006-06-07,33.7,6.5,207.0
2006-06-12,37.0,6.3,415.0
2006-06-20,30.8,5.8,85.0
2006-06-23,30.8,5.8,66.0
2006-06-28,28.3,5.7,52.0
2006-07-04,32.2,5.8,52.0
2006-07-07,45.8,10.8,110.0
2006-07-12,15.5,4.0,41.0
2006-07-17,16.3,6.0,69.0
2006-07-20,18.0,5.0,53.0
2006-07-25,24.7,4.8,28.0
2006-07-28,20.5,4.0,33.0
2006-08-03,25.7,4.3,36.0
2006-08-08,27.5,5.2,44.0
2006-08-11,28.3,5.0,40.0
2006-08-18,35.2,6.3,60.0
2006-08-23,39.5,5.7,49.0
2006-08-28,29.2,5.8,76.0
2006-09-01,18.2,4.0,30.0
2006-09-06,24.5,6.0,52.0
2006-09-11,38.5,4.0,62.0
2006-09-14,48.2,13.3,87.0
2006-09-19,29.2,4.7,75.0
2006-09-22,29.8,8.7,56.0
2006-09-27,35.3,4.2,102.0
2006-10-04,57.8,7.3,nan
2006-10-09,35.5,4.0,nan
2006-10-12,48.8,4.0,nan
2006-10-17,71.8,5.3,nan
2006-10-26,70.3,7.0,292.0
2006-11-01,50.8,4.3,307.0
2006-11-06,62.0,4.3,287.0
2006-11-09,63.5,12.8,202.0
2006-11-14,64.7,7.7,235.0
2006-11-17,27.7,4.2,102.0
2006-11-22,51.8,5.3,296.0
2006-11-27,61.0,7.5,197.0
2006-12-01,26.5,4.0,270.0
2006-12-06,36.0,4.0,174.0
2006-12-11,32.3,4.2,136.0
2006-12-14,50.8,5.3,186.0
2006-12-19,51.0,4.2,261.0
2006-12-22,47.8,5.5,339.0
2006-12-28,38.7,4.7,249.0
2007-01-04,31.8,5.7,201.0
2007-01-09,32.7,6.2,260.0
2007-01-12,59.3,5.5,269.0
2007-01-17,46.5,4.0,223.0
2007-01-22,56.0,4.5,308.0
2007-01-25,45.7,4.0,241.0
2007-02-02,40.5,5.0,351.0
2007-02-07,30.8,5.2,172.0
2007-02-12,33.0,4.5,99.0
2007-02-15,32.2,4.5,135.0
2007-02-21,37.7,4.3,166.0
2007-02-26,40.5,4.3,175.0
2007-03-02,28.2,4.7,59.0
2007-03-07,37.2,5.0,98.0
2007-03-15,35.0,4.0,79.0
2007-03-20,35.0,4.0,88.0
2007-03-23,29.0,4.0,87.0
2007-03-29,25.3,4.3,176.0
2007-04-04,36.0,4.3,338.0
2007-04-10,34.0,4.0,195.0
2007-04-13,43.0,4.2,267.0
2007-04-18,39.5,4.0,433.0
2007-04-23,29.5,4.2,270.0
2007-04-26,25.3,4.3,nan
2007-05-03,37.0,4.0,216.0
2007-05-08,36.5,4.0,143.0
2007-05-11,38.5,4.2,159.0
2007-05-16,36.8,4.3,274.0
2007-05-21,41.3,4.0,368.0
2007-05-24,26.3,4.0,123.0
