Date,NO2,SO2,RSPM/PM10
2011-01-03,52.0,4.0,417.0
2011-01-06,55.0,5.0,273.0
2011-01-11,49.0,5.0,365.0
2011-01-14,54.0,4.0,375.0
2011-01-19,42.0,5.0,331.0
2011-01-24,55.0,5.0,384.0
2011-01-28,53.0,6.0,417.0
2011-02-03,66.0,5.0,404.0
2011-02-08,56.0,4.0,229.0
2011-02-11,47.0,5.0,202.0
2011-02-17,61.0,5.0,248.0
2011-02-22,60.0,4.0,272.0
2011-02-25,nan,nan,272.0
2011-03-04,52.0,5.0,158.0
2011-03-09,51.0,5.0,276.0
2011-03-14,51.0,4.0,205.0
2011-03-17,nan,nan,374.0
2011-03-22,60.0,5.0,387.0
2011-03-25,63.0,4.0,245.0
2011-03-30,70.0,5.0,212.0
2011-04-05,61.0,5.0,272.0
2011-04-08,61.0,4.0,142.0
2011-04-15,62.0,5.0,409.0
2011-04-20,59.0,5.0,271.0
2011-04-26,58.0,4.0,273.0
2011-05-02,58.0,4.0,202.0
2011-05-05,48.0,4.0,192.0
2011-05-10,57.0,5.0,299.0
2011-05-13,62.0,5.0,278.0
2011-05-19,59.0,4.0,221.0
2011-05-24,56.0,5.0,210.0
2011-05-27,40.0,4.0,157.0
2011-06-02,70.0,6.0,252.0
2011-06-07,61.0,5.0,213.0
2011-06-10,46.0,4.0,141.0
2011-06-15,61.0,5.0,110.0
2011-06-20,54.0,5.0,171.0
2011-06-23,57.0,4.0,177.0
2011-06-28,58.0,5.0,107.0
2011-07-04,61.0,5.0,223.0
2011-07-07,57.0,5.0,132.0
2011-07-12,57.0,5.0,217.0
2011-07-15,45.0,4.0,78.0
2011-07-20,60.0,4.0,133.0
2011-07-25,58.0,5.0,136.0
2011-07-28,37.0,4.0,114.0
2011-08-02,45.0,4.0,97.0
2011-08-05,49.0,4.0,129.0
2011-08-10,35.0,4.0,140.0
2011-08-16,42.0,4.0,91.0
2011-08-19,54.0,4.0,51.0
2011-08-25,42.0,4.0,178.0
2011-09-01,51.0,5.0,155.0
2011-09-06,36.0,4.0,135.0
2011-09-14,48.0,4.0,89.0
2011-09-19,44.0,4.0,109.0
2011-09-22,49.0,4.0,97.0
2011-09-27,52.0,4.0,87.0
2011-10-03,61.0,5.0,158.0
2011-10-07,58.0,4.0,227.0
2011-10-12,53.0,5.0,nan
2011-10-17,58.0,5.0,349.0
2011-10-20,59.0,6.0,486.0
2011-10-28,67.0,6.0,193.0
2011-11-03,50.0,5.0,351.0
2011-11-09,43.0,5.0,386.0
2011-11-15,46.0,5.0,305.0
2011-11-18,53.0,5.0,356.0
2011-11-23,47.0,6.0,312.0
2011-11-28,52.0,5.0,411.0
2011-12-02,65.0,6.0,371.0
2011-12-08,57.0,5.0,247.0
2011-12-13,58.0,6.0,234.0
2011-12-16,52.0,5.0,462.0
2011-12-21,55.0,5.0,417.0
2011-12-26,65.0,7.0,356.0
2011-12-29,55.0,4.0,373.0
2014-01-03,69.0,4.0,470.0
2014-01-08,65.0,4.0,478.0
2014-01-13,66.0,4.0,291.0
2014-01-17,71.0,5.0,414.0
2014-01-22,63.0,4.0,190.0
2014-01-27,62.0,4.0,294.0
2014-01-30,52.0,5.0,438.0
2014-02-05,58.0,4.0,243.0
2014-02-10,62.0,4.0,271.0
2014-02-13,60.0,4.0,227.0
2014-02-18,60.0,4.0,391.0
2014-02-26,66.0,4.0,246.0
2014-03-04,61.0,4.0,165.0
2014-03-07,60.0,4.0,175.0
2014-03-12,53.0,4.0,115.0
2014-03-18,65.0,4.0,177.0
2014-03-21,63.0,4.0,201.0
2014-03-26,62.0,4.0,259.0
2014-04-01,63.0,4.0,312.0
2014-04-04,64.0,4.0,166.0
2014-04-11,64.0,4.0,371.0
2014-04-17,61.0,4.0,234.0
2014-04-23,59.0,4.0,242.0
2014-04-28,63.0,4.0,435.0
2014-05-02,61.0,4.0,475.0
2014-05-07,60.0,4.0,238.0
2014-05-12,51.0,4.0,240.0
2014-05-16,62.0,4.0,251.0
2014-05-21,58.0,4.0,333.0
2014-05-26,61.0,4.0,267.0
2014-05-29,61.0,4.0,380.0
2014-06-04,60.0,4.0,153.0
2014-06-09,56.0,4.0,207.0
2014-06-12,58.0,4.0,417.0
2014-06-17,55.0,4.0,236.0
2014-06-20,59.0,4.0,314.0
2014-06-25,55.0,4.0,236.0
2014-07-01,58.0,4.0,178.0
2014-07-04,62.0,4.0,352.0
2014-07-09,51.0,4.0,419.0
2014-07-14,58.0,4.0,216.0
2014-07-17,58.0,4.0,115.0
2014-07-22,48.0,4.0,253.0
2014-07-25,53.0,4.0,165.0
2014-08-01,58.0,4.0,130.0
2014-08-06,55.0,4.0,218.0
2014-08-11,46.0,4.0,135.0
2014-08-14,54.0,4.0,137.0
2014-08-21,56.0,4.0,290.0
2014-08-26,53.0,4.0,92.0
2014-09-01,55.0,4.0,194.0
2014-09-04,48.0,4.0,190.0
2014-09-09,45.0,4.0,138.0
2014-09-12,46.0,4.0,101.0
2014-09-17,51.0,4.0,190.0
2014-09-22,57.0,4.0,121.0
2014-10-09,55.0,4.0,190.0
2014-10-14,49.0,4.0,260.0
2014-10-17,54.0,4.0,204.0
2014-10-24,62.0,4.0,322.0
2014-10-29,58.0,4.0,193.0
2014-11-03,55.0,4.0,310.0
2014-11-10,61.0,4.0,313.0
2014-11-13,57.0,4.0,403.0
2014-11-18,63.0,4.0,355.0
2014-11-21,57.0,4.0,335.0
2014-11-26,53.0,4.0,414.0
2014-12-02,55.0,4.0,205.0
2014-12-05,52.0,4.0,289.0
2014-12-10,48.0,4.0,546.0
2014-12-15,55.0,4.0,211.0
2014-12-18,47.0,4.0,444.0
2014-12-23,63.0,4.0,514.0
2014-12-29,51.0,4.0,432.0
2015-01-15,59.0,4.0,266.0
2015-01-20,65.0,4.0,272.0
2015-01-23,59.0,4.0,165.0
2015-01-29,59.0,8.0,222.0
2015-02-06,49.0,4.0,543.0
2015-02-07,54.0,4.0,133.0
2015-02-09,51.0,4.0,179.0
2015-02-12,76.0,4.0,366.0
2015-02-17,56.0,4.0,343.0
2015-02-20,61.0,4.0,287.0
2015-02-25,54.0,4.0,263.0
2015-03-03,59.0,4.0,113.0
2015-03-08,39.0,4.0,139.0
2015-03-11,64.0,4.0,314.0
2015-03-17,60.0,4.0,238.0
2015-03-20,50.0,4.0,155.0
2015-03-25,60.0,4.0,232.0
2015-03-30,63.0,4.0,145.0
2015-04-02,59.0,4.0,126.0
2015-04-13,52.0,4.0,224.0
2015-04-16,52.0,4.0,248.0
2015-04-21,57.0,4.0,334.0
2015-04-24,53.0,4.0,355.0
2015-04-29,51.0,4.0,352.0
2015-05-06,47.0,4.0,250.0
2015-05-14,53.0,4.0,240.0
2015-05-19,50.0,4.0,294.0
2015-05-22,46.0,4.0,192.0
2015-05-27,47.0,4.0,314.0
2015-06-05,53.0,4.0,261.0
2015-06-08,40.0,4.0,267.0
2015-06-10,54.0,4.0,269.0
2015-06-11,60.0,4.0,405.0
2015-06-15,50.0,4.0,261.0
2015-06-18,48.0,4.0,254.0
2015-06-23,48.0,4.0,166.0
2015-06-26,50.0,4.0,266.0
2015-07-01,61.0,4.0,289.0
2015-07-07,43.0,4.0,138.0
2015-07-09,54.0,4.0,215.0
2015-07-12,82.0,4.0,581.0
2015-07-15,47.0,4.0,226.0
2015-07-20,44.0,4.0,126.0
2015-07-23,46.0,4.0,148.0
2015-07-28,40.0,4.0,221.0
2015-08-04,59.0,4.0,166.0
2015-08-14,43.0,4.0,151.0
2015-08-19,44.0,4.0,179.0
2015-08-24,44.0,4.0,66.0
2015-08-27,40.0,4.0,194.0
2015-09-02,54.0,4.0,276.0
2015-09-03,57.0,4.0,234.0
2015-09-10,56.0,4.0,249.0
2015-09-15,44.0,4.0,215.0
2015-09-18,50.0,4.0,265.0
2015-09-23,45.0,4.0,109.0
2015-09-29,44.0,4.0,229.0
2015-10-06,53.0,4.0,295.0
2015-10-09,47.0,4.0,215.0
